"CUSTOMERID","TRANSACTIONDATE","EMPLOYEEID","AMOUNT","DESCRIPTION","REFERENCE"
10978,12-SEP-00,87295,-3844.79,"Single/final payment for purchase",12599
10978,10-AUG-00,87295,3844.79,"Order was shipped",12599
10979,30-JUN-05,29387,-989.3201,"Monthly payment #4",28015
10979,28-MAY-05,87295,-962.31,"Monthly payment #3",28015
10979,30-APR-05,51512,-989.31,"Monthly payment #2",28015
10979,02-APR-05,34192,-989.31,"Monthly payment #1",28015
10979,27-JUN-00,87295,-3941,"Single/final payment for purchase",12600
10979,26-JAN-05,29387,3957.25,"Order was shipped",28015
10979,23-MAY-00,89097,3914,"Order was shipped",12600
10980,18-FEB-04,89097,3006.19,"Order was shipped",24499
10980,23-MAR-04,29387,-3004.11,"Single/final payment for purchase",24499
10980,15-NOV-00,89097,3896,"Order was shipped",12601
10980,19-DEC-00,87295,-3898.07,"Single/final payment for purchase",12601
10981,03-APR-00,29387,2146.09,"Order was shipped",12602
10981,04-MAY-00,87295,-2146.08,"Single/final payment for purchase",12602
10982,10-JAN-01,51512,3874.8,"Order was shipped",12603
10982,13-FEB-01,87295,-3874.8,"Single/final payment for purchase",12603
10983,11-JAN-04,89097,3863.78,"Order was shipped",25036
10983,12-FEB-04,29387,-3973.88,"Single/final payment for purchase",25036
10983,24-AUG-00,87295,-2825.64,"Single/final payment for purchase",12604
10983,25-JUL-00,15293,2935.76,"Order was shipped",12604
10984,13-FEB-02,51512,4638.6,"Order was shipped",20514
10984,13-APR-02,51512,-670.35,"Monthly payment #1",20514
10984,14-JUN-02,34192,-670.35,"Monthly payment #3",20514
10984,19-JUL-02,29387,-670.35,"Monthly payment #4",20514
10984,11-AUG-02,89097,-593.23,"Monthly payment #5",20514
10984,13-SEP-02,29387,-670.35,"Monthly payment #6",20514
10984,12-OCT-02,15293,-670.3701,"Monthly payment #7",20514
10984,18-MAY-02,34192,-670.35,"Monthly payment #2",20514
10984,16-DEC-00,87295,-2074.84,"Single/final payment for purchase",12605
10984,13-NOV-00,87295,2051.6,"Order was shipped",12605
10985,18-JUN-00,51512,2305.59,"Order was shipped",12606
10985,20-JUL-00,87295,-2305.58,"Single/final payment for purchase",12606
10986,08-MAY-00,51512,4149.37,"Order was shipped",12607
10986,20-JUN-00,51512,-4149.36,"Single/final payment for purchase",12607
10987,05-AUG-00,15293,2956.99,"Order was shipped",12608
10987,07-SEP-00,87295,-2956.98,"Single/final payment for purchase",12608
10988,06-APR-00,87295,3083,"Order was shipped",12609
10988,10-MAY-00,87295,-3083,"Single/final payment for purchase",12609
10989,18-SEP-00,51512,2948.75,"Order was shipped",12610
10989,04-NOV-00,51512,-2948.75,"Single/final payment for purchase",12610
10990,20-OCT-00,87295,3842.99,"Order was shipped",12611
10990,24-NOV-00,87295,-3795.36,"Single/final payment for purchase",12611
10990,04-NOV-01,87295,4108.6,"Order was shipped",19866
10990,09-DEC-01,15293,-4156.22,"Single/final payment for purchase",19866
10991,02-JAN-05,15293,-5142.9,"Single/final payment for purchase",27254
10991,11-JUL-05,98766,-791,"Monthly payment #6",27968
10991,11-JUN-05,98766,-791.02,"Monthly payment #5",27968
10991,15-MAY-05,98766,-791.03,"Monthly payment #4",27968
10991,15-APR-05,15293,-791.03,"Monthly payment #3",27968
10991,16-MAR-05,51512,-791.02,"Monthly payment #2",27968
10991,11-FEB-05,51512,-791.02,"Monthly payment #1",27968
10991,27-NOV-04,51512,5142.92,"Order was shipped",27254
10991,03-DEC-00,87295,-3286.76,"Single/final payment for purchase",12612
10991,03-NOV-00,51512,3286.78,"Order was shipped",12612
10991,12-DEC-04,51512,4746.1,"Order was shipped",27968
10992,28-SEP-00,87295,-4209.11,"Single/final payment for purchase",12613
10992,28-AUG-00,87295,4209.12,"Order was shipped",12613
10993,02-MAY-02,87295,3533.75,"Order was shipped",20960
10993,06-JUN-02,98766,-3566.34,"Single/final payment for purchase",20960
10993,16-JUL-00,87295,-3224.27,"Single/final payment for purchase",12614
10993,12-JUN-00,87295,3256.88,"Order was shipped",12614
10994,12-FEB-01,89097,-508.47,"Monthly payment #6",12615
10994,05-JUL-00,29387,2988.5,"Order was shipped",12615
10994,14-JAN-01,87295,-446.14,"Monthly payment #5",12615
10994,25-DEC-00,46583,-508.47,"Monthly payment #4",12615
10994,26-NOV-00,87295,-508.47,"Monthly payment #3",12615
10994,20-OCT-00,29387,-508.47,"Monthly payment #2",12615
10994,10-SEP-00,89097,-508.47,"Monthly payment #1",12615
10997,12-JAN-01,87295,3052.89,"Order was shipped",12618
10997,13-FEB-01,87295,-3052.88,"Single/final payment for purchase",12618
10998,16-AUG-00,89097,-2973.79,"Single/final payment for purchase",12619
10998,07-JUL-00,89097,2973.79,"Order was shipped",12619
10999,04-DEC-00,51512,3356.69,"Order was shipped",12620
10999,04-JAN-01,87295,-3356.69,"Single/final payment for purchase",12620
11000,24-MAY-00,87295,-3828.49,"Single/final payment for purchase",12621
11000,15-APR-00,89097,3828.5,"Order was shipped",12621
11001,17-JAN-01,15293,2984.39,"Order was shipped",12622
11001,17-FEB-01,87295,-2984.38,"Single/final payment for purchase",12622
11003,27-JUL-00,51512,3055,"Order was shipped",12624
11003,26-AUG-00,98766,-3055,"Single/final payment for purchase",12624
11004,20-JUN-00,98766,-3040.1,"Single/final payment for purchase",12625
11004,20-MAY-00,29387,3040.1,"Order was shipped",12625
11005,18-NOV-00,98766,-2973.79,"Single/final payment for purchase",12626
11005,16-OCT-00,87295,2973.79,"Order was shipped",12626
11006,11-DEC-00,89097,-3948.79,"Single/final payment for purchase",12627
11006,26-OCT-00,51512,3948.79,"Order was shipped",12627
11007,24-JUL-00,29387,4171.6,"Order was shipped",12628
11007,26-AUG-00,98766,-4171.61,"Single/final payment for purchase",12628
11008,16-JUN-00,98766,-2954.3,"Single/final payment for purchase",12629
11008,13-MAY-00,51512,2954.3,"Order was shipped",12629
11009,26-DEC-00,51512,2915,"Order was shipped",12630
11009,30-JAN-01,98766,-2915,"Single/final payment for purchase",12630
11010,20-JAN-01,29387,3062,"Order was shipped",12631
11010,16-FEB-01,98766,-3040.63,"Single/final payment for purchase",12631
11010,30-NOV-01,51512,3105.25,"Order was shipped",19861
11010,03-JAN-02,98766,-3126.61,"Single/final payment for purchase",19861
11011,22-MAR-04,98766,-4908.46,"Single/final payment for purchase",25202
11011,01-JUL-00,87295,4160.99,"Order was shipped",12632
11011,03-AUG-00,98766,-4209.11,"Single/final payment for purchase",12632
11011,19-FEB-04,51512,4956.59,"Order was shipped",25202
11012,25-DEC-00,98766,-3941,"Single/final payment for purchase",12633
11012,19-NOV-00,51512,3941,"Order was shipped",12633
11013,16-NOV-00,29387,3029.37,"Order was shipped",12634
11013,17-DEC-00,98766,-3029.37,"Single/final payment for purchase",12634
11014,13-MAY-00,87295,4235.54,"Order was shipped",12635
11014,17-JUN-00,98766,-4247.65,"Single/final payment for purchase",12635
11014,07-MAR-02,89097,5278,"Order was shipped",20477
11014,10-APR-02,98766,-5265.88,"Single/final payment for purchase",20477
11015,10-OCT-00,98766,-3851.87,"Single/final payment for purchase",12636
11015,08-SEP-00,89097,3851.87,"Order was shipped",12636
11016,19-FEB-01,98766,-3806,"Single/final payment for purchase",12637
11016,30-MAY-02,87295,2423.19,"Order was shipped",20615
11016,01-JUL-02,98766,-2407.19,"Single/final payment for purchase",20615
11016,13-JAN-01,89097,3790,"Order was shipped",12637
11017,18-JAN-01,15293,3775.99,"Order was shipped",12638
11017,21-FEB-01,98766,-3855.19,"Single/final payment for purchase",12638
11017,12-DEC-04,29387,4931.49,"Order was shipped",27256
11017,11-JAN-05,98766,-4852.28,"Single/final payment for purchase",27256
11018,09-NOV-00,51512,3132.8,"Order was shipped",12639
11018,12-DEC-00,98766,-3132.8,"Single/final payment for purchase",12639
11019,28-OCT-00,87295,3270.59,"Order was shipped",12640
11019,01-DEC-00,98766,-3270.58,"Single/final payment for purchase",12640
11020,12-APR-00,15293,3118.75,"Order was shipped",12641
11020,15-MAY-00,98766,-3118.75,"Single/final payment for purchase",12641
11701,14-NOV-01,34192,-3768.04,"Single/final payment for purchase",20107
11702,01-JUL-00,89097,3962.44,"Order was shipped",13323
11702,02-AUG-00,29387,-3962.44,"Single/final payment for purchase",13323
11703,03-AUG-00,51512,2925.49,"Order was shipped",13324
11703,06-SEP-00,29387,-2925.48,"Single/final payment for purchase",13324
11704,18-NOV-00,87295,3828.49,"Order was shipped",13325
11704,20-JAN-01,29387,-1246.42,"Monthly payment #1",13325
11704,24-FEB-01,34192,-1291.04,"Monthly payment #2",13325
11704,24-MAR-01,51512,-1291.03,"Monthly payment #3",13325
11705,07-JUN-00,87295,4037.53,"Order was shipped",13326
11705,09-JUL-00,51512,-4037.52,"Single/final payment for purchase",13326
11706,12-SEP-00,51512,-3873.13,"Single/final payment for purchase",13327
11706,09-AUG-00,51512,3873.13,"Order was shipped",13327
11707,01-APR-00,29387,3278.12,"Order was shipped",13328
11707,07-MAY-00,51512,-3278.11,"Single/final payment for purchase",13328
11707,04-NOV-01,51512,4107.5,"Order was shipped",19867
11707,05-DEC-01,51512,-4107.5,"Single/final payment for purchase",19867
11708,06-MAY-00,51512,-3796.98,"Single/final payment for purchase",13329
11708,04-APR-00,51512,3796.99,"Order was shipped",13329
11709,04-SEP-00,51512,-3140,"Single/final payment for purchase",13330
11709,02-AUG-00,29387,3140,"Order was shipped",13330
11710,04-AUG-00,87295,2963.19,"Order was shipped",13331
11710,06-SEP-00,51512,-2963.19,"Single/final payment for purchase",13331
11711,13-OCT-00,51512,3114.5,"Order was shipped",13332
11711,27-NOV-00,98766,-3114.49,"Single/final payment for purchase",13332
11712,15-AUG-00,51512,-2232.49,"Single/final payment for purchase",13333
11712,15-JUL-00,87295,2232.49,"Order was shipped",13333
11713,29-JUN-00,51512,2925.49,"Order was shipped",13334
11713,02-AUG-00,51512,-2925.48,"Single/final payment for purchase",13334
11715,19-MAR-00,89097,2348,"Order was shipped",13336
11715,22-APR-00,51512,-2348,"Single/final payment for purchase",13336
11716,09-AUG-00,15293,3180.29,"Order was shipped",13337
11716,16-SEP-00,51512,-3180.28,"Single/final payment for purchase",13337
11717,06-AUG-00,29387,4097.4,"Order was shipped",13338
11717,26-JAN-01,15293,-1036.2,"Monthly payment #4",13338
11717,19-DEC-00,29387,-1036.19,"Monthly payment #3",13338
11717,14-NOV-00,51512,-988.82,"Monthly payment #2",13338
11717,22-OCT-00,98766,-1036.19,"Monthly payment #1",13338
11718,11-OCT-00,29387,3132.8,"Order was shipped",13339
11718,14-NOV-00,51512,-3132.8,"Single/final payment for purchase",13339
11719,20-JUN-00,15293,3308.22,"Order was shipped",13340
11719,23-JUL-00,51512,-3308.21,"Single/final payment for purchase",13340
11720,25-DEC-04,29387,3388,"Order was shipped",27273
11720,27-JAN-05,51512,-3427.5,"Single/final payment for purchase",27273
11720,30-JAN-01,51512,-3074.99,"Single/final payment for purchase",13341
11720,27-DEC-00,29387,3114.49,"Order was shipped",13341
11721,18-JUN-00,51512,-2935.99,"Single/final payment for purchase",13342
11721,15-MAY-00,15293,2935.99,"Order was shipped",13342
11722,10-APR-00,87295,3860.74,"Order was shipped",13343
11722,15-MAY-00,51512,-3860.74,"Single/final payment for purchase",13343
11723,01-APR-00,89097,3204.8,"Order was shipped",13344
11723,09-JAN-04,34192,-1607.3,"Monthly payment #1",24442
11723,15-FEB-04,51512,-1625.43,"Monthly payment #2",24442
11723,10-APR-04,51512,-1571.3,"Monthly payment #3",24442
11723,08-NOV-03,87295,4768.04,"Order was shipped",24442
11723,19-NOV-00,15293,-2150.63,"Single/final payment for purchase",18684
11723,03-MAY-00,51512,-3193.05,"Single/final payment for purchase",13344
11723,12-OCT-00,51512,2174.89,"Order was shipped",18684
11725,21-MAY-00,87295,3818,"Order was shipped",13346
11725,05-JUL-00,15293,-3817.99,"Single/final payment for purchase",13346
11726,24-OCT-00,87295,3132.8,"Order was shipped",13347
11726,25-NOV-00,51512,-3074.55,"Single/final payment for purchase",13347
11726,16-MAR-02,51512,5009.6,"Order was shipped",20485
11726,16-APR-02,51512,-5067.85,"Single/final payment for purchase",20485
11727,04-AUG-00,51512,-2984.38,"Single/final payment for purchase",13348
11727,03-JUL-00,89097,2984.39,"Order was shipped",13348
11728,18-MAY-00,51512,-3942.6,"Single/final payment for purchase",13349
11728,17-APR-00,29387,3942.6,"Order was shipped",13349
11729,23-MAY-00,87295,2139.19,"Order was shipped",13350
11729,26-JUN-00,51512,-2139.19,"Single/final payment for purchase",13350
11730,18-APR-00,89097,3061.55,"Order was shipped",13351
11730,22-MAY-00,51512,-3061.55,"Single/final payment for purchase",13351
11731,12-NOV-00,89097,2927.5,"Order was shipped",13352
11731,16-DEC-00,51512,-2927.5,"Single/final payment for purchase",13352
11732,18-DEC-00,51512,2829.99,"Order was shipped",13353
11732,06-FEB-01,15293,-2829.98,"Single/final payment for purchase",13353
11735,26-JUN-00,87295,2901.5,"Order was shipped",13356
11735,27-JUL-00,51512,-2901.5,"Single/final payment for purchase",13356
11736,19-DEC-00,87295,3063.74,"Order was shipped",13357
11736,29-JAN-01,15293,-3063.73,"Single/final payment for purchase",13357
11737,21-AUG-00,51512,-2988.5,"Single/final payment for purchase",13358
11737,21-JUL-00,87295,2988.5,"Order was shipped",13358
11738,02-DEC-00,51512,2974.65,"Order was shipped",13359
11738,03-FEB-01,89097,-610.16,"Monthly payment #1",13359
11738,04-MAR-01,29387,-610.16,"Monthly payment #2",13359
11738,01-APR-01,51512,-610.16,"Monthly payment #3",13359
11738,04-MAY-01,15293,-533.98,"Monthly payment #4",13359
11738,04-JUN-01,29387,-610.1802,"Monthly payment #5",13359
11739,02-DEC-02,15293,3619,"Order was shipped",22380
11739,06-APR-05,15293,-2423.75,"Monthly payment #2",27872
11739,11-MAR-05,29387,-2423.75,"Monthly payment #1",27872
11739,07-JAN-05,29387,4847.5,"Order was shipped",27872
11739,04-JAN-03,51512,-3695.05,"Single/final payment for purchase",22380
11739,08-JUN-01,98766,-543.99,"Monthly payment #4",13360
11739,05-MAY-01,34192,-605.87,"Monthly payment #3",13360
11739,04-APR-01,87295,-605.87,"Monthly payment #2",13360
11739,07-MAR-01,87295,-529.82,"Monthly payment #1",13360
11739,03-JAN-01,51512,2967.49,"Order was shipped",13360
11739,05-JUL-01,89097,-605.8801,"Monthly payment #5",13360
11740,01-SEP-00,87295,2987.44,"Order was shipped",13361
11740,03-OCT-00,89097,-2987.44,"Single/final payment for purchase",13361
11741,29-JUN-00,51512,2938.13,"Order was shipped",13362
11741,28-JUL-00,89097,-2938.12,"Single/final payment for purchase",13362
11742,18-APR-05,29387,-459.67,"Monthly payment #4",27696
11742,17-MAY-05,87295,-521.1,"Monthly payment #5",27696
11742,20-MAR-05,87295,-521.1,"Monthly payment #3",27696
11742,19-FEB-05,29387,-456.98,"Monthly payment #2",27696
11742,17-NOV-04,29387,3062.5,"Order was shipped",27696
11742,28-JAN-01,87295,-1503.96,"Monthly payment #2",13363
11742,29-DEC-00,89097,-1503.96,"Monthly payment #1",13363
11742,16-OCT-00,89097,2946.49,"Order was shipped",13363
11742,21-JUN-05,34192,-521.1101,"Monthly payment #6",27696
11742,22-JAN-05,34192,-521.1,"Monthly payment #1",27696
11743,10-OCT-00,87295,3072.28,"Order was shipped",13364
11743,08-NOV-00,89097,-3072.27,"Single/final payment for purchase",13364
11744,14-NOV-00,29387,3927.79,"Order was shipped",13365
11744,18-DEC-00,89097,-3927.78,"Single/final payment for purchase",13365
11745,15-APR-00,51512,3737.5,"Order was shipped",13366
11745,19-MAY-00,89097,-3737.5,"Single/final payment for purchase",13366
11746,07-SEP-00,89097,-3161.25,"Single/final payment for purchase",13367
11746,08-AUG-00,51512,3161.25,"Order was shipped",13367
11747,05-JAN-01,29387,2925.49,"Order was shipped",13368
11747,05-FEB-01,89097,-2925.48,"Single/final payment for purchase",13368
11748,22-AUG-00,89097,3104,"Order was shipped",13369
11748,24-SEP-00,89097,-3104,"Single/final payment for purchase",13369
11750,18-SEP-02,29387,-451.26,"Monthly payment #3",20736
16599,21-MAR-03,51512,-497.28,"Monthly payment #1",22037
16599,23-MAY-03,89097,-642.23,"Monthly payment #3",22037
16599,20-JUN-03,89097,-642.23,"Monthly payment #4",22037
16599,10-APR-01,51512,-2354.4,"Single/final payment for purchase",18842
16599,09-MAR-01,15293,2285.19,"Order was shipped",18842
16599,19-JAN-03,51512,2493.19,"Order was shipped",22037
16600,18-MAY-02,89097,-3834.46,"Single/final payment for purchase",20674
16600,07-JUN-01,87295,2380.8,"Order was shipped",18843
16600,08-JUL-01,89097,-2336.92,"Single/final payment for purchase",18843
16600,14-APR-02,89097,3790.59,"Order was shipped",20674
16601,01-JUN-01,51512,2970.62,"Order was shipped",18844
16601,06-JUL-01,89097,-2970.62,"Single/final payment for purchase",18844
16602,26-APR-01,87295,3870.99,"Order was shipped",18845
16602,30-MAY-01,89097,-3870.99,"Single/final payment for purchase",18845
16603,25-JUN-01,87295,2968,"Order was shipped",18846
16603,28-JUL-01,89097,-2968,"Single/final payment for purchase",18846
16604,20-SEP-01,89097,-2651.87,"Single/final payment for purchase",18847
16604,21-AUG-01,87295,2651.87,"Order was shipped",18847
16605,06-MAR-01,87295,-2677.6,"Single/final payment for purchase",18848
16605,29-JAN-01,29387,2677.6,"Order was shipped",18848
16606,17-FEB-01,89097,2609.99,"Order was shipped",18849
16606,20-MAR-01,89097,-2609.98,"Single/final payment for purchase",18849
16607,09-MAY-01,29387,2662.49,"Order was shipped",18850
16607,08-JUN-01,89097,-2662.48,"Single/final payment for purchase",18850
16608,02-JUN-01,89097,-2697.62,"Single/final payment for purchase",18851
16608,31-JAN-05,87295,5022.24,"Order was shipped",27250
16608,02-MAY-01,15293,2732.5,"Order was shipped",18851
16608,08-MAR-05,89097,-5057.11,"Single/final payment for purchase",27250
16609,15-JUL-01,15293,2779.37,"Order was shipped",18852
16609,14-AUG-01,89097,-2779.37,"Single/final payment for purchase",18852
16610,21-FEB-01,15293,4292.4,"Order was shipped",18853
16610,22-MAR-01,89097,-4292.42,"Single/final payment for purchase",18853
16611,13-DEC-01,87295,-483.56,"Monthly payment #4",18854
16611,11-JAN-02,46583,-483.56,"Monthly payment #5",18854
16611,11-FEB-02,15293,-483.5798,"Monthly payment #6",18854
16611,14-OCT-01,51512,-483.56,"Monthly payment #2",18854
16611,09-NOV-01,87295,-483.56,"Monthly payment #3",18854
16611,12-SEP-01,87295,-424.16,"Monthly payment #1",18854
16611,10-JUL-01,51512,2841.99,"Order was shipped",18854
16612,15-AUG-01,29387,-337.2,"Monthly payment #3",18855
16612,12-APR-01,87295,2666.99,"Order was shipped",18855
16612,14-JAN-02,29387,-337.2102,"Monthly payment #8",18855
16612,19-DEC-01,29387,-337.2,"Monthly payment #7",18855
16612,14-NOV-01,15293,-337.2,"Monthly payment #6",18855
16612,10-SEP-01,15293,-337.2,"Monthly payment #4",18855
16612,13-JUL-01,46583,-337.2,"Monthly payment #2",18855
16612,13-JUN-01,89097,-306.57,"Monthly payment #1",18855
16612,14-OCT-01,51512,-337.2,"Monthly payment #5",18855
16613,26-APR-01,51512,2736.87,"Order was shipped",18856
16613,23-MAY-01,29387,-2736.86,"Single/final payment for purchase",18856
16614,31-JAN-05,87295,3451.39,"Order was shipped",28024
16614,02-JUN-01,29387,-2493.84,"Single/final payment for purchase",18857
16614,29-APR-01,15293,2465.6,"Order was shipped",18857
16614,01-MAR-05,29387,-3423.13,"Single/final payment for purchase",28024
16615,21-JUL-01,29387,2677.6,"Order was shipped",18858
16615,25-SEP-01,89097,-902.79,"Monthly payment #1",18858
16615,25-OCT-01,46583,-902.78,"Monthly payment #2",18858
16615,23-NOV-01,46583,-872.03,"Monthly payment #3",18858
16616,16-FEB-01,46583,-2849.4,"Single/final payment for purchase",18859
16616,14-JAN-01,29387,2849.4,"Order was shipped",18859
16617,07-MAR-01,29387,3992,"Order was shipped",18860
16617,09-APR-01,46583,-3992,"Single/final payment for purchase",18860
16618,29-JAN-01,29387,3197,"Order was shipped",18861
16618,06-MAR-01,46583,-3197,"Single/final payment for purchase",18861
16619,17-APR-01,51512,3884.38,"Order was shipped",18862
16619,20-MAY-01,46583,-3884.37,"Single/final payment for purchase",18862
16620,30-MAY-01,46583,-4447.78,"Single/final payment for purchase",18863
16620,30-APR-01,51512,4447.79,"Order was shipped",18863
16621,10-DEC-01,51512,-1354.17,"Monthly payment #2",18864
16621,11-NOV-01,46583,-1298.83,"Monthly payment #1",18864
16621,07-SEP-01,89097,2653,"Order was shipped",18864
16622,02-FEB-01,87295,4424.35,"Order was shipped",18865
16622,05-APR-01,98766,-1106.11,"Monthly payment #1",18865
16622,04-MAY-01,98766,-1106.09,"Monthly payment #2",18865
16622,04-JUN-01,89097,-1106.09,"Monthly payment #3",18865
16622,05-JUL-01,29387,-1106.08,"Monthly payment #4",18865
16623,16-FEB-01,29387,-2826.32,"Single/final payment for purchase",18866
16623,07-APR-02,89097,4424.35,"Order was shipped",20838
16623,17-JAN-01,15293,2826.33,"Order was shipped",18866
16623,11-MAY-02,29387,-4424.35,"Single/final payment for purchase",20838
16624,14-MAR-01,89097,2698.8,"Order was shipped",18867
16624,17-APR-01,29387,-2698.8,"Single/final payment for purchase",18867
16625,30-NOV-01,89097,-1348.8,"Monthly payment #2",18868
16625,24-AUG-01,29387,2697.62,"Order was shipped",18868
16625,24-OCT-01,89097,-1348.82,"Monthly payment #1",18868
16626,23-NOV-01,89097,-746.33,"Monthly payment #4",18869
16626,25-DEC-01,46583,-746.33,"Monthly payment #5",18869
16626,26-JAN-02,51512,-746.3201,"Monthly payment #6",18869
16626,27-OCT-01,87295,-746.33,"Monthly payment #3",18869
16626,19-SEP-01,46583,-746.33,"Monthly payment #2",18869
16626,23-JUN-01,87295,4477.98,"Order was shipped",18869
16626,28-AUG-01,46583,-746.3599,"Monthly payment #1",18869
16627,12-SEP-01,51512,4016.8,"Order was shipped",18870
16627,18-OCT-01,51512,-4016.8,"Single/final payment for purchase",18870
16628,30-AUG-01,87295,3916.24,"Order was shipped",18871
16628,30-SEP-01,51512,-3916.24,"Single/final payment for purchase",18871
16629,05-APR-03,51512,-4252.75,"Single/final payment for purchase",22864
16629,30-AUG-01,51512,2150,"Order was shipped",18872
16629,02-OCT-01,51512,-1867.25,"Single/final payment for purchase",18872
16629,04-MAR-03,51512,3970,"Order was shipped",22864
16630,28-JAN-05,51512,-4507.54,"Single/final payment for purchase",27885
16630,27-DEC-04,29387,4604.39,"Order was shipped",27885
16630,13-SEP-01,51512,-3266.07,"Single/final payment for purchase",18873
16630,13-AUG-01,87295,3169.2,"Order was shipped",18873
16631,20-MAY-01,87295,2610.99,"Order was shipped",18874
16631,19-JUN-01,51512,-2665.44,"Single/final payment for purchase",18874
16631,13-NOV-04,29387,3650.5,"Order was shipped",27873
16631,19-DEC-04,51512,-3596.05,"Single/final payment for purchase",27873
16632,09-OCT-01,51512,-2817.7,"Single/final payment for purchase",18875
16632,03-SEP-01,51512,2817.7,"Order was shipped",18875
16633,26-AUG-01,51512,2380,"Order was shipped",18876
16633,28-SEP-01,51512,-2380,"Single/final payment for purchase",18876
16634,09-JUN-01,29387,2890.67,"Order was shipped",18877
16634,12-JUL-01,51512,-2890.67,"Single/final payment for purchase",18877
16635,04-DEC-01,34192,-838.4401,"Monthly payment #3",18878
16635,03-AUG-01,29387,2452.6,"Order was shipped",18878
16635,05-OCT-01,34192,-775.73,"Monthly payment #1",18878
16635,05-NOV-01,29387,-838.43,"Monthly payment #2",18878
16636,13-AUG-01,29387,2858.45,"Order was shipped",18879
16636,12-SEP-01,34192,-2858.45,"Single/final payment for purchase",18879
16637,09-MAY-01,15293,3225.63,"Order was shipped",18880
16637,11-JUN-01,34192,-3225.63,"Single/final payment for purchase",18880
16638,28-AUG-01,89097,3905.15,"Order was shipped",18881
16638,27-SEP-01,87295,-3905.16,"Single/final payment for purchase",18881
16639,08-MAY-01,34192,-2715.62,"Single/final payment for purchase",18882
16639,05-APR-01,51512,2715.63,"Order was shipped",18882
16640,19-AUG-01,29387,-706.5801,"Monthly payment #4",18883
17231,04-JUN-01,34192,-619.79,"Monthly payment #1",19474
17231,01-APR-01,29387,4298.74,"Order was shipped",19474
17231,05-NOV-01,87295,-619.79,"Monthly payment #6",19474
17231,03-JUL-01,34192,-619.79,"Monthly payment #2",19474
17232,22-MAR-01,51512,3523.13,"Order was shipped",19475
17232,25-APR-01,98766,-3523.13,"Single/final payment for purchase",19475
17233,12-JUN-01,51512,3330.39,"Order was shipped",19476
17233,08-DEC-04,29387,-4756.82,"Single/final payment for purchase",27235
17233,13-JUL-01,98766,-3330.38,"Single/final payment for purchase",19476
17233,07-NOV-04,51512,4756.83,"Order was shipped",27235
17234,03-JUN-01,51512,3534.17,"Order was shipped",19477
17234,06-JUL-01,98766,-3526.57,"Single/final payment for purchase",19477
17234,27-JAN-04,29387,2719.07,"Order was shipped",25572
17234,27-FEB-04,98766,-2726.66,"Single/final payment for purchase",25572
17235,05-FEB-02,51512,2768.74,"Order was shipped",20448
17235,13-JUN-01,98766,-2945.22,"Single/final payment for purchase",19478
17235,15-MAY-01,29387,2970.62,"Order was shipped",19478
17235,08-MAR-02,98766,-2794.13,"Single/final payment for purchase",20448
17236,02-FEB-01,51512,2610.99,"Order was shipped",19479
17236,06-MAR-01,98766,-2665.44,"Single/final payment for purchase",19479
17236,18-JAN-04,29387,4028.5,"Order was shipped",24437
17236,19-FEB-04,29387,-3974.04,"Single/final payment for purchase",24437
17237,18-JAN-02,46583,-633.54,"Monthly payment #4",19480
17237,20-FEB-02,34192,-723.09,"Monthly payment #5",19480
17237,19-DEC-01,98766,-723.09,"Monthly payment #3",19480
17237,21-OCT-01,87295,-723.09,"Monthly payment #1",19480
17237,23-MAR-02,46583,-723.0796,"Monthly payment #6",19480
17237,18-AUG-01,51512,4248.99,"Order was shipped",19480
17237,17-NOV-01,89097,-723.09,"Monthly payment #2",19480
17238,22-APR-01,87295,-1063.19,"Monthly payment #2",19481
17238,28-MAY-01,29387,-1014.44,"Monthly payment #3",19481
17238,31-MAR-01,34192,-1063.19,"Monthly payment #1",19481
17238,23-JAN-01,51512,4204,"Order was shipped",19481
17238,24-JUN-01,15293,-1063.18,"Monthly payment #4",19481
17239,22-JAN-01,51512,3523.44,"Order was shipped",19482
17239,26-MAR-01,89097,-1174.48,"Monthly payment #1",19482
17239,25-APR-01,89097,-1174.48,"Monthly payment #2",19482
17239,24-MAY-01,29387,-1174.48,"Monthly payment #3",19482
17240,28-APR-02,89097,-1057.82,"Monthly payment #1",20399
17240,02-JUN-02,89097,-1057.82,"Monthly payment #2",20399
17240,01-JUL-02,46583,-1057.83,"Monthly payment #3",20399
17240,05-JUL-01,29387,-3062.26,"Single/final payment for purchase",19483
17240,31-JUL-02,29387,-1057.82,"Monthly payment #4",20399
17240,02-JUN-01,51512,3062.28,"Order was shipped",19483
17240,28-FEB-02,87295,4231.29,"Order was shipped",20399
17241,20-MAR-01,87295,2614,"Order was shipped",19484
17241,23-APR-01,29387,-2614,"Single/final payment for purchase",19484
17242,24-JUN-01,29387,3292.39,"Order was shipped",19485
17242,27-AUG-01,29387,-1665.19,"Monthly payment #1",19485
17242,29-SEP-01,34192,-1627.19,"Monthly payment #2",19485
17243,29-MAR-01,15293,2989,"Order was shipped",19486
17243,02-MAY-01,34192,-3023.75,"Single/final payment for purchase",19486
17243,11-DEC-04,87295,4858,"Order was shipped",27866
17243,10-JAN-05,34192,-4823.25,"Single/final payment for purchase",27866
17244,17-FEB-01,87295,4170.24,"Order was shipped",19487
17244,18-MAR-01,34192,-4170.23,"Single/final payment for purchase",19487
17245,15-FEB-01,29387,2932,"Order was shipped",19488
